user_id_n,gender,year
868860,m,1992.0
372184,m,1988.0
1053320,m,1999.0
1007946,f,1997.0
101140,m,1986.0
422946,m,1986.0
685324,m,1998.0
124524,m,1990.0
681180,m,1992.0
851544,f,1994.0
429320,f,1987.0
842384,m,1994.0
806358,m,1981.0
1022756,f,1989.0
405240,m,1964.0
401130,m,1973.0
421858,m,1986.0
567376,m,1984.0
864614,f,1994.0
114024,f,1976.0
944760,m,1983.0
912990,m,1967.0
445402,m,1962.0
221700,m,1994.0
340590,m,1992.0
881578,f,1983.0
1067902,m,1988.0
280484,m,1996.0
1025706,f,1979.0
508330,m,1994.0
632252,m,1992.0
225728,f,1998.0
768508,m,1991.0
773260,m,1980.0
835882,m,1998.0
666684,m,1946.0
969204,m,1993.0
127856,m,1971.0
924364,m,1995.0
216102,m,1977.0
505428,m,1992.0
1081684,m,1990.0
966014,m,1996.0
297120,m,1980.0
368540,f,1987.0
937536,m,1961.0
1032986,f,1998.0
936660,f,1986.0
866452,m,1991.0
240800,f,1988.0
911834,m,1989.0
932726,f,1990.0
204896,m,1991.0
525410,m,1991.0
159582,m,1976.0
1018530,m,1998.0
452074,f,1987.0
958570,m,1991.0
566326,m,1989.0
860428,m,1992.0
893054,m,1984.0
1010466,m,1996.0
174134,m,1993.0
582560,m,1998.0
278294,m,1975.0
722916,m,1986.0
1032862,m,1991.0
409664,m,1978.0
853636,m,1996.0
136458,m,1977.0
260244,m,1988.0
977664,m,1988.0
738036,f,1991.0
545292,m,1984.0
413646,f,1992.0
785924,m,1993.0
1033808,m,1997.0
1054134,m,1990.0
1081796,f,1999.0
781948,m,1998.0
149460,m,
131998,m,1987.0
433002,m,1992.0
338842,m,1983.0
793898,m,1988.0
671342,m,1979.0
1082660,f,1993.0
565644,m,1997.0
754374,f,1985.0
593516,m,1998.0
212716,m,1991.0
314140,m,1970.0
151880,m,1971.0
387820,m,1995.0
390110,m,1981.0
188146,f,1980.0
602392,m,1979.0
1050950,f,1991.0
885892,m,1988.0
611930,m,2000.0
956112,m,1999.0
238478,m,1976.0
506946,m,1962.0
361886,m,1990.0
1004410,m,1990.0
721184,m,1986.0
745186,f,1987.0
863334,m,1987.0
880968,m,1998.0
167412,m,1900.0
1001742,m,1986.0
417452,m,1978.0
799656,f,1991.0
191924,m,1994.0
948926,m,1990.0
144274,m,1990.0
960344,f,1989.0
1008474,m,2000.0
652660,m,1977.0
389116,m,1983.0
870560,m,1997.0
619060,f,1991.0
618246,f,1993.0
1067682,m,1997.0
442272,f,1995.0
197000,m,1972.0
862844,m,1960.0
977216,m,1984.0
785226,m,1974.0
676252,m,1993.0
340612,m,1985.0
1041428,m,1989.0
986126,m,1993.0
847524,m,1973.0
554802,m,1975.0
658558,m,1992.0
742392,m,1979.0
1046866,m,1986.0
1016232,f,1975.0
1054470,f,1987.0
1013534,m,1996.0
621862,m,1981.0
1029982,f,1990.0
948570,m,1979.0
1065706,m,1987.0
314072,f,1978.0
597866,m,1981.0
390142,m,1970.0
1057360,f,2000.0
568292,m,1980.0
323088,m,1994.0
450408,m,1990.0
896776,f,1983.0
348674,m,1975.0
794366,m,1983.0
718300,m,1985.0
1021260,f,1993.0
663636,m,1994.0
894432,m,1996.0
1073538,m,1984.0
327994,f,1981.0
984878,m,1996.0
1007950,m,1995.0
837822,m,1983.0
125102,m,1991.0
1040944,f,1997.0
1082768,m,1996.0
991830,m,1994.0
894886,m,1975.0
948482,m,1993.0
555366,m,1986.0
752338,m,1990.0
904746,m,1976.0
200024,f,1992.0
740954,f,1991.0
997728,f,1989.0
827804,m,1994.0
341668,m,1986.0
746180,f,1985.0
1036686,m,1988.0
124954,m,1977.0
725108,m,1988.0
1045936,m,1991.0
655506,m,1988.0
583222,m,1954.0
702736,m,1981.0
1053262,m,2000.0
484928,m,1973.0
474416,m,1982.0
556778,m,1992.0
332460,m,1999.0
1013274,m,1993.0
835920,f,1995.0
881338,m,1998.0
683608,m,1995.0
948846,m,1970.0
1058280,m,1977.0
759092,m,1981.0
